...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ဂဏန်းသင်္ချာ	ဂ ဏန်း သင် ချာ	ga- nan: thin cha
ဂတိ	ဂ တိ	ga- di.
ဂဒူး	ဂ ဒူး	ga du:
ဂဒေ	ဂ ဒေ	ga- dei
ဂနာမငြိမ်	ဂ နာ မ ငြိမ်	ga- na ma njein
ဂနိုင့်ကျက်သရေ	ဂ နိုင့် ကျက် သ ရေ	ga- nain. kye' tha- jei
ဂနိုင်	ဂ နိုင်	ga- nain
ဂမုန်း	ဂ မုန်း	ga- moun:
ဂမုန်းကြက်သွန်ဖြူ	ဂ မုန်း ကြက် သွန် ဖြူ	ga- moun: kye' thun bju
ဂမုန်းအင်	ဂ မုန်း အင်	ga- moun: in
ဂယက်	ဂ ယက်	ga- je'
ဂယက်ထ	ဂ ယက် ထ	ga- je' hta.
ဂယက်ရိုက်	ဂ ယက် ရိုက်	ga- je' jai'
ဂရင်ဂျီနာ	ဂ ရင် ဂျီ နာ	ga- jin gyi na
ဂရင်းနစ်စံတော်ချိန်	ဂ ရင်း နစ် စံ တော် ချိန်	ga- rin: ni' san do gyein
ဂရန်မြေ	ဂ ရန် မြေ	ga jan mjei
ဂရပ်	ဂ ရပ်	ga- ra'
ဂရပ်ဖိုက်	ဂ ရပ် ဖိုက်	ga- ra' hpai'
ဂရမ်	ဂ ရမ်	ga- ran
ဂရိန်	ဂ ရိန်	ga- rein
ဂရို့	ဂ ရို့	ga- jou.
ဂရို့ချိုး	ဂ ရို့ ချိုး	ga- jou. chou:
ဂရု	ဂ ရု	ga- ru.
ဂရုကံ	ဂ ရု ကံ	ga- ru. kan
ဂရုစိုက်	ဂ ရု စိုက်	ga- ju. sai'
ဂရုတစိုက်	ဂ ရု တ စိုက်	ga- ju da- zai'
ဂရုပြု	ဂ ရု ပြု	ga- ju. pju.
ဂရုမူ	ဂ ရု မူ	ga- ju. mu
ဂရုသံ	ဂ ရု သံ	ga- ru. dhan
ဂရွတ်	ဂ ရွတ်	ga- ru'
ဂလစ်ဆရင်	ဂ လစ် ဆ ရင်	ga- li' hsa- rin
ဂဝံကျောက်	ဂ ဝံ ကျောက်	ga- wun kyau'
ဂဝံရုပ်	ဂ ဝံ ရုပ်	ga- wun jou'
ဂဟေ	ဂ ဟေ	ga- hei
ဂဟေဆက်	ဂ ဟေ ဆက်	ga- hei hse'
ဂဟေဆော်	ဂ ဟေ ဆော်	ga- hei hso
ဂဠုန်	ဂ ဠုန်	ga- loun
ဂဠုန်တောင်ရွက်	ဂ ဠုန် တောင် ရွက်	ga- loun taun jwe'
ဂဠုန်လက်သည်း	ဂ ဠုန် လက် သည်း	ga- loun le' the:
ဂင်္ဂါ	ဂင် ဂါ	gin: ga
ဂင်္ဂါမြစ်	ဂင် ဂါ မြစ်	gin: ga mji'
ဂင်တို	ဂင် တို	gin dou
ဂစ်လှေ	ဂစ် လှေ	gi' lhei
ဂဏ္ဌိ	ဂဏ် ဌိ	gan di.
ဂဏ္ဌိ	ဂဏ် ဌိ	gan hti.
ဂန္ဓမာ	ဂန် ဓ မာ	gan da- ma
ဂန္ဓဗ္ဗ	ဂန် ဓဗ် ဗ	gan da' ba.
ဂန္ဓာရီ	ဂန် ဓာ ရီ	gan da ri
ဂန္ဓာရုံ	ဂန် ဓာ ရုံ	gan da joun
ဂန်ဖလား	ဂန် ဖ လား	gan hpa- la:
ဂါထာ	ဂါ ထာ	ga hta
ဂါထာစုတ်	ဂါ ထာ စုတ်	ga hta sou'
ဂါထာရွတ်	ဂါ ထာ ရွတ်	ga hta ju'
ဂါထာလိုက်	ဂါ ထာ လိုက်	ga hta lai'
ဂါမဝါသီ	ဂါ မ ဝါ သီ	ga ma wa thi
ဂါရဝပြု	ဂါ ရ ဝ ပြု	ga ra- wa pju
ဂါလန်	ဂါ လန်	ga lan
ဂါဝန်	ဂါ ဝန်	ga wun
ဂါဝုတ်	ဂါ ဝုတ်	ga wou'
ဂါမ္မဒေါသ	ဂါမ် မ ဒေါ သ	gan ma. do: dha.
ဂိမှန်	ဂိ မှန်	gein mhan
ဂိလာန	ဂိ လာ န	gi la na.
ဂိဇ္ဈကုဋ်	ဂိဇ် ဈ ကုဋ်	gei' za- gou'
ဂိုဒေါင်	ဂို ဒေါင်	gou daun
ဂိုက်ထုတ်	ဂိုက် ထုတ်	gai' htou'
ဂိုက်ပေး	ဂိုက် ပေး	gai' pei:
ဂိုက်ဖမ်း	ဂိုက် ဖမ်း	gai' hpan:
ဂိုင်တောင့်	ဂိုင် တောင့်	gain taun.
ဂိုင်ပြတ်	ဂိုင် ပြတ်	gain pja'
ဂိုဏ်းချုပ်	ဂိုဏ်း ချုပ်	gain: gyou'
ဂိုးစည်း	ဂိုး စည်း	gou: zi:
ဂိုးစောင့်	ဂိုး စောင့်	gou: zaun.
ဂိုးတိုင်	ဂိုး တိုင်	gou: dain
ဂိုးပေါက်	ဂိုး ပေါက်	gou: bau'
ဂိုးသမား	ဂိုး သ မား	gou: dha- ma:
ဂိုးသွင်း	ဂိုး သွင်း	gou: thwin:
ဂီတ	ဂီ တ	gi ta.
ဂီတစာဆို	ဂီ တ စာ ဆို	gi ta. sa zou
ဂီတနည်းပြ	ဂီ တ နည်း ပြ	gi ta. ni: bja.
ဂီတပညာ	ဂီ တ ပ ညာ	gi ta. pjin nja
ဂီတသမား	ဂီ တ သ မား	gi ta. dha- ma:
ဂီတသင်္ကေတ	ဂီ တ သင် ကေ တ	gi ta. thin kei ta.
ဂီတာ	ဂီ တာ	gi ta
ဂီယာ	ဂီ ယာ	gi ja
ဂီယာအုံ	ဂီ ယာ အုံ	gi ja oun
ဂီဝါရ	ဂီ ဝါ ရ	gi wa ra.
ဂုဏဝန်	ဂု ဏ ဝန်	gu. na. wun
ဂုဏဝုဍ္ဎိ	ဂု ဏ ဝုဍ် ဎိ	gu. na. wou' di.
ဂုဏ်ခံ	ဂုဏ် ခံ	goun khan
ဂုဏ်ငယ်	ဂုဏ် ငယ်	goun nge
ဂုဏ်တက်	ဂုဏ် တက်	goun te'
ဂုဏ်တင်	ဂုဏ် တင်	goun tin
ဂုဏ်တုဂုဏ်ပြိုင်လုပ်	ဂုဏ် တု ဂုဏ် ပြိုင် လုပ်	goun du. goun bjain lou'
ဂုဏ်တော်	ဂုဏ် တော်	goun do
ဂုဏ်ထူး	ဂုဏ် ထူး	goun du:
ဂုဏ်ထူးဆောင်	ဂုဏ် ထူး ဆောင်	goun du: zaun
ဂုဏ်ထူးဆောင်လက်မှတ်	ဂုဏ် ထူး ဆောင် လက် မှတ်	goun du: zaun le' mha'
ဂုဏ်ထူးတန်း	ဂုဏ် ထူး တန်း	goun du: dan:
ဂုဏ်ဒြပ်	ဂုဏ် ဒြပ်	goun da-ra'
ဂုဏ်ပကာသန	ဂုဏ် ပ ကာ သ န	goun pa- ka tha- na.
ဂုဏ်ပုဒ်	ဂုဏ် ပုဒ်	goun bou'
ဂုဏ်ပြိုင်	ဂုဏ် ပြိုင်	goun pjain
ဂုဏ်ပြု	ဂုဏ် ပြု	goun pju.
ဂုဏ်ပြုလွှာ	ဂုဏ် ပြု လွှာ	goun pju lhwa
ဂုဏ်ဖော်	ဂုဏ် ဖော်	goun hpo
ဂုဏ်ယူ	ဂုဏ် ယူ	goun ju
ဂုဏ်ရည်	ဂုဏ် ရည်	goun ji
ဂုဏ်သရေ	ဂုဏ် သ ရေ	goun tha- jei
ဂုဏ်သတ္တိ	ဂုဏ် သတ် တိ	goun tha' ti.
ဂုဏ်သိက္ခာ	ဂုဏ် သိက် ခါ	goun thei' kha
ဂုဏ်သိန်	ဂုဏ် သိန်	goun thein
ဂုဏ်သိမ်	ဂုဏ် သိမ်	goun thein
ဂုန္တန်	ဂုန် တန်	goun dan
ဂုန်နီ	ဂုန် နီ	goun ni
ဂုန်နီကြိုး	ဂုန် နီ ကြိုး	goun ni gyou:
ဂုန်နီအိတ်	ဂုန် နီ အိတ်	goun ni ei'
ဂုန်လျှော်	ဂုန် လျှော်	goun sho
ဂုန်အိတ်	ဂုန် အိတ်	gou nei'
ဂုံစက္ကူ	ဂုံ စက် ကူ	goun se' ku
ဂုံမင်း	ဂုံ မင်း	goun min:
ဂူဘုရား	ဂူ ဘု ရား	gu hpa- ja:
ဂူလီ	ဂူ လီ	gu li
ဂူသွင်း	ဂူ သွင်း	gu thwin:
ဂေဇက်	ဂေ ဇက်	gei ze'
ဂေဇက်တီးယား	ဂေ ဇက် တီး ယား	gei ze' ti: ja:
ဂေဟာ	ဂေ ဟာ	gei ha
ဂေါဇာဂြိုဟ်	ဂေါ ဇာ ဂြိုဟ်	go: za gyou
ဂေါတမ	ဂေါ တ မ	go: da- ma.
ဂေါဒန်ကျောက်	ဂေါ ဒန် ကျောက်	go: dan kyau'
ဂေါပက	ဂေါ ပ က	go: pa- ka.
ဂေါယာ	ဂေါ ယာ	go: ja
ဂေါရာစဉ်း	ဂေါ ရာ စဉ်း	go: ja zin:
ဂေါရီ	ဂေါ ရီ	go: ri
ဂေါဝိန်ဂြိုဟ်	ဂေါ ဝိန် ဂြိုဟ်	go: wein gyou
ဂေါက်ကွင်း	ဂေါက် ကွင်း	gau' kwin:
ဂေါက်သီး	ဂေါက် သီး	gau' thi:
ဂေါက်သီးရိုက်	ဂေါက် သီး ရိုက်	gou' thi: jai'
ဂေါက်သီးသမား	ဂေါက် သီး သ မား	gau' thi: dha- ma:
ဂေါ့ပလ္လင်	ဂေါ့ ပလ် လင်	go: pa- lin
ဂေါ်ကြိုး	ဂေါ် ကြိုး	go gyou:
ဂေါ်ပြား	ဂေါ် ပြား	go bja:
ဂေါ်ဖီ	ဂေါ် ဖီ	go bi
ဂေါ်ဖီထုပ်	ဂေါ် ဖီ ထုပ်	go bi dou'
ဂေါ်ဖီပန်း	ဂေါ် ဖီ ပန်း	go bi ban:
ဂေါ်မိတ်	ဂေါ် မိတ်	go mei'
ဂေါ်မုတ်	ဂေါ် မုတ်	go mou'
ဂေါ်ရခါး	ဂေါ် ရ ခါး	go ra- kha:
ဂေါ်ရာ	ဂေါ် ရာ	go ja
ဂေါ်ရာဖျင်	ဂေါ် ရာ ဖျင်	go ja hpjin
ဂေါ်လီ	ဂေါ် လီ	go li
ဂေါ်သဇင်	ဂေါ် သ ဇင်	go dha- zin
ဂျမဒါ	ဂျ မ ဒါ	gya- ma- da
ဂျလေဘီ	ဂျ လေ ဘီ	gya- lei bi
ဂျက်လေယာဉ်	ဂျက် လေ ယာဉ်	gye' lei jin
ဂျင်ခြေလည်	ဂျင် ခြေ လည်	gyin gyi le
ဂျင်ဂလယ်	ဂျင် ဂ လယ်	gyin ga- le
ဂျင်နရေတာ	ဂျင် န ရေ တာ	gyin na- rei ta
ဂျင်ဖု	ဂျင် ဖု	gyin bu.
ဂျစ်ကန်ကန်	ဂျစ် ကန် ကန်	gyi' kan gan
ဂျစ်ကား	ဂျစ် ကား	gyi' ka:
ဂျစ်ပဆမ်	ဂျစ် ပ ဆမ်	gyi' pa- hsan
ဂျပ်ကောင်	ဂျပ် ကောင်	gya' kaun
ဂျပ်ကြိုးပြား	ဂျပ် ကြိုး ပြား	gya' kyou: bja:
ဂျပ်ခုတ်	ဂျပ် ခုတ်	gya' khou'
ဂျာကင်	ဂျာ ကင်	gya kin
ဂျာစီ	ဂျာ စီ	gya si
ဂျာနယ်	ဂျာ နယ်	gya ne
ဂျိန်ဖော့	ဂျိန် ဖော့	gyein hpo.
ဂျိန်းဘာသာ	ဂျိန်း ဘာ သာ	gyein: ba dha
ဂျိုကာ	ဂျို ကာ	gyou ka
ဂျိုက်သိုး	ဂျိုက် သိုး	gyai' thou:
ဂျီသြမေတြီ	ဂျီ သြ မေ တြီ	gyi o: mei tri
ဂျီအိပတ္တများ	ဂျီ အိ ပတ် တ များ	gyi i. pa' ta. mja:
ဂျုံစက်	ဂျုံ စက်	gyoun ze'
ဂျုံမှုန့်	ဂျုံ မှုန့်	gyoun mhoun.
ဂျူဒို	ဂျူ ဒို	gyu dou
ဂျူရီ	ဂျူ ရီ	gyu ri
ဂျူရီလူကြီး	ဂျူ ရီ လူ ကြီး	gyu ri lu gyi:
ဂျူးမြစ်	ဂျူး မြစ်	gyu: mji'
ဂျောက်ဂျက်	ဂျောက် ဂျက်	gyau' gye'
ဂျော်ဂျက်	ဂျော် ဂျက်	gyo gye'
ဂြိုလ်ကျ	ဂြိုလ် ကျ	gyou kya.
ဂြိုဟ်ကောင်	ဂြိုဟ် ကောင်	gyou gaun
ဂြိုဟ်စားသက်ရောက်	ဂြိုဟ် စား သက် ရောက်	gyou za: the' jau'
ဂြိုဟ်စီးဂြိုဟ်နင်း	ဂြိုဟ် စီး ဂြိုဟ် နင်း	gyou zi: gyou nin:
ဂြိုဟ်ဆိုးဝင်	ဂြိုဟ် ဆိုး ဝင်	gyou zou: win
ဂြိုဟ်တိုင်	ဂြိုဟ် တိုင်	gyou dain
ဂြိုဟ်တု	ဂြိုဟ် တု	gyou du.
ဂြိုဟ်ပြေနံပြေ	ဂြိုဟ် ပြေ နံ ပြေ	gyou bjei nan bjei
ဂြိုဟ်မွှေ	ဂြိုဟ် မွှေ	gyou mhwei
ဂြိုဟ်ဝင်	ဂြိုဟ် ဝင်	gyou win
ဂွချော	ဂွ ချော	gwa. gyo:
ဂွဒိုး	ဂွ ဒိုး	gwa. dou:
ဂွမ်းကပ်	ဂွမ်း ကပ်	gun: ga'
ဂွမ်းခက်	ဂွမ်း ခက်	gun: ge'
ဂွမ်းထိုး	ဂွမ်း ထိုး	gun: dou:
ဃကြီး	ဃ ကြီး	ga. gyi:
ဃဋီ	ဃ ဋီ	ga- di
ဃနာနို့ဆွမ်း	ဃ နာ နို့ ဆွမ်း	ga- na nou. hsun:
ဃရာဝါသ	ဃ ရာ ဝါ သ	ga- ra wa tha.
ဃောသ	ဃော သ	go: tha.
ငကျွဲ	င ကျွဲ	nga- kywe:
ငကြောင်သခွား	င ကြောင် သ ခွား	nga- kyaun tha- khwa:
ငချိပ်	င ချိပ်	nga- chei'
ငချိပ်သွေး	င ချိပ် သွေး	nga- chei' thwei:
ငချွတ်	င ချွတ်	nga- chu'
ငစဉ်းလဲ	င စဉ်း လဲ	nga- sin: le
ငစိန်	င စိန်	nga- sein
ငစိုင်ရှင်	င စိုင် ရှင်	nga- sain shin
ငဆစ်သခွား	င ဆစ် သ ခွား	nga- hsi' tha- khwa:
ငတိ	င တိ	nga- ti.
ငတေ	င တေ	nga- tei
ငနဲ	င နဲ	nga- ne:
ငပုပ်ဖမ်း	င ပုပ် ဖမ်း	nga- pou' hpan:
ငပြုပ်	င ပြုပ်	nga- pjou'
ငပြုပ်သခွား	င ပြုပ် သ ခွား	nga- pjou' tha- khwa:
ငပြေရှင်	င ပြေ ရှင်	nga- bjei shin
ငဖုန်းဆေး	င ဖုန်း ဆေး	nga- hpoun: zei:
ငမိုက်သား	င မိုက် သား	nga- mai' tha:
ငမြှောင်တောင်	င မြှောင် တောင်	nga- mhjaun taun
ငမှန်ကန်သိုက်	င မှန် ကန် သိုက်	nga- mhan kan thai'
ငရမန်	င ရ မန်	nga- ra- man
ငရုတ်	င ရုတ်	nga- jou'
ငရုတ်ကောင်း	င ရုတ် ကောင်း	nga- jou' kaun:
ငရုတ်ကျည်ပွေ့	င ရုတ် ကျည် ပွေ့	nga- jou' gya- bwei.
ငရုတ်ဆီ	င ရုတ် ဆီ	nga- jou' hsi
ငရုတ်ဆုံ	င ရုတ် ဆုံ	nga- jou' hsoun
ငရုတ်မှုန့်	င ရုတ် မှုန့်	nga- jou' mhoun.
ငရဲ	င ရဲ	nga- je:
ငရဲကျ	င ရဲ ကျ	nga- je: kya.
ငရဲကြီး	င ရဲ ကြီး	nga- je: kyi:
ငရဲခံ	င ရဲ ခံ	nga- je: khan
ငရဲငအုံ	င ရဲ င အုံ	nga je: nga oun
ငရဲမင်း	င ရဲ မင်း	nga je: min:
ငရဲမီး	င ရဲ မီး	nga je: mi:
ငရဲသစ်ငုတ်	င ရဲ သစ် ငုတ်	nga- je: thi' ngou'
ငရဲသား	င ရဲ သား	nga- je: dha:
ငရဲအိုး	င ရဲ အိုး	nga- je: ou:
ငရံ့ပတူ	င ရံ့ ပ တူ	nga- jan. ba du
ငလျင်	င လျင်	nga- ljin
ငလျင်ဗဟိုချက်	င လျင် ဗ ဟို ချက်	nga- ljin ba- hou gye'
ငလျင်မှတ်စက်	င လျင် မှတ် စက်	nga- ljin mha' se'
ငလျင်လှုပ်	င လျင် လှုပ်	nga- ljin lhou'
ငသလွန်	င သ လွန်	nga- tha- lun
ငဟစ်	င ဟစ်	nga- hi'
ငတ်ကြီးကျ	ငတ် ကြီး ကျ	nga' kyi: kya.
ငတ်ပေါက်တိုး	ငတ် ပေါက် တိုး	nga' pau' tou:
ငတ်ပြတ်	ငတ် ပြတ်	nga' pja'
ငတ်မွတ်	ငတ် မွတ်	nga' mu'
ငတ်မွတ်ခေါင်းပါး	ငတ် မွတ် ခေါင်း ပါး	nga' mu' khaun: ba:
ငတ်မွတ်ခေါင်းပါးခြင်းဘေး	ငတ် မွတ် ခေါင်း ပါး ခြင်း ဘေး	nga' mu' khaun: ba: gyin: bei:
ငန်ငြိငြိ	ငန် ငြိ ငြိ	ngan nji. nji.
ငန်ပျပျ	ငန် ပျ ပျ	ngan pja. bja.
ငန်းစောင်း	ငန်း စောင်း	ngan: zaun:
ငန်းစွယ်	ငန်း စွယ်	ngan: zwe
ငန်းဆေး	ငန်း ဆေး	ngan: zei:
ငန်းတာ	ငန်း တာ	ngan: ta
ငန်းတိုက်	ငန်း တိုက်	ngan: tai'
ငန်းတော်ကျား	ငန်း တော် ကျား	ngan: do gya:
ငန်းပုပ်	ငန်း ပုပ်	ngan: bou'
ငန်းပြား	ငန်း ပြား	ngan: bja:
ငန်းဖမ်း	ငန်း ဖမ်း	ngan: hpan:
ငန်းဖျား	ငန်း ဖျား	ngan: bja:
ငန်းမြွေ	ငန်း မြွေ	ngan: mwei
ငန်းရူး	ငန်း ရူး	ngan: ju:
ငန်းသန္ဓိပါတ်	ငန်း သန် ဓိ ပါတ်	ngan: than ni ba'
ငန်းဦး	ငန်း ဦး	ngan: u:
ငပ်ငါး	ငပ် ငါး	nga' nga:
ငမ်းငမ်းတက်	ငမ်း ငမ်း တက်	ngan: ngan: te'
ငယ်ကျိုးငယ်နာ	ငယ် ကျိုး ငယ် နာ	nge gyou: nge na
ငယ်ကျိုးငယ်နာဖော်	ငယ် ကျိုး ငယ် နာ ဖော်	nge gyou: nge na hpo
ငယ်ကျွန်	ငယ် ကျွန်	nge gyun
ငယ်ကျွမ်း	ငယ် ကျွမ်း	nge gywan:
ငယ်ကြိုက်	ငယ် ကြိုက်	nge gyai'
ငယ်ကြောက်	ငယ် ကြောက်	nge gyau'
ငယ်ချစ်	ငယ် ချစ်	nge gyi'
ငယ်ချေး	ငယ် ချေး	nge chi:
ငယ်ခြေ	ငယ် ခြေ	nge gyei'
ငယ်စဉ်ကြီးလိုက်	ငယ် စဉ် ကြီး လိုက်	nge zin kyi: lai'
ငယ်စဉ်တောင်ကျေး	ငယ် စဉ် တောင် ကျေး	nge zin taun gyei:
ငယ်စာရင်း	ငယ် စာ ရင်း	nge za- jin:
ငယ်စိတ်	ငယ် စိတ်	nge zei'
ငယ်ဆရာ	ငယ် ဆ ရာ	nge hsa- ja
ငယ်ထိပ်	ငယ် ထိပ်	nge dei'
ငယ်နာမည်	ငယ် နာ မည်	nge na mji
ငယ်နာမည်	ငယ် နာ မည်	nge nan me
ငယ်နိုင်	ငယ် နိုင်	nge nain
ငယ်ပါ	ငယ် ပါ	nge ba
ငယ်ပေါင်း	ငယ် ပေါင်း	nge baun:
ငယ်ပေါင်းကြီးဖော်	ငယ် ပေါင်း ကြီး ဖော်	nge baun: kyi: bo
ငယ်ဖြူ	ငယ် ဖြူ	nge bju
ငယ်မည်	ငယ် မည်	nge mji
ငယ်မူ	ငယ် မူ	nge mu
ငယ်မူငယ်ရာ	ငယ် မူ ငယ် ရာ	nge mu nge ja
ငယ်မူငယ်သွေး	ငယ် မူ ငယ် သွေး	nge mu nge dhwei:
ငယ်မူပြန်	ငယ် မူ ပြန်	nge mu pjan
ငယ်မွေးခြံပေါက်	ငယ် မွေး ခြံ ပေါက်	nge mwei: chan: bau'
ငယ်ရည်းစား	ငယ် ရည်း စား	nge ji: za:
ငယ်ရုပ်	ငယ် ရုပ်	nge jou'
ငယ်ရွယ်	ငယ် ရွယ်	nge jwe
ငယ်လင်	ငယ် လင်	nge lin
ငယ်လင်ငယ်မယား	ငယ် လင် ငယ် မ ယား	nge lin nge ma- ja:
ငယ်သား	ငယ် သား	nge dha:
ငယ်သံပါ	ငယ် သံ ပါ	nge dhan pa
ငယ်သွား	ငယ် သွား	nge dhwa:
ငါစား	ငါ စား	nga za:
ငါစွဲ	ငါ စွဲ	nga zwe:
ငါတကောကော	ငါ တ ကော ကော	nga da- go: ko:
ငါတွေ့	ငါ တွေ့	nga dwei.
ငါ့ဖို့	ငါ့ ဖို့	nga. bou.
ငါ့မင်းငါ့ချင်း	ငါ့ မင်း ငါ့ ချင်း	nga. min: nga. chin:
ငါ့ရှင်	ငါ့ ရှင်	nga. shin
ငါးကင်	ငါး ကင်	nga- gin
ငါးကျည်း	ငါး ကျည်း	nga- gyi:
ငါးကျည်းခြောက်	ငါး ကျည်း ခြောက်	nga- gyi: gyau'
ငါးကျပ်တင်	ငါး ကျပ် တင်	nga: kya' tin
ငါးကျပ်တိုက်	ငါး ကျပ် တိုက်	nga: kya' tai'
ငါးကြင်း	ငါး ကြင်း	nga- gyin:
ငါးကြင်းကွက်	ငါး ကြင်း ကွက်	nga- gyin: gwe'
ငါးကြင်းပွတ်	ငါး ကြင်း ပွတ်	nga- gyin: bu'
ငါးကြင်းမြီး	ငါး ကြင်း မြီး	nga- gyin: mi:
ငါးကြီးဆီ	ငါး ကြီး ဆီ	nga: gyi: zi
